,tahun,bulan,jenis,kode_trayek,trayek,jumlah_penumpang
36,2021,4,Angkutan Umum Integrasi,4F,Pinang Ranti - Pulo Gadung,40791
37,2021,4,Angkutan Umum Integrasi,11D,Pulo Gebang - Pulo Gadung 2 via PIK,55677
38,2021,4,Mikrotrans,JAK.112,Terminal Tanah Merah - Pulo Gadung,51550
39,2021,4,Mikrotrans,JAK.41,Kampung Melayu - Pulo Gadung,40336
40,2021,5,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,37132
41,2021,5,Angkutan Umum Integrasi,4F,Pinang Ranti - Pulo Gadung,30816
42,2021,5,BRT,2,Pulo Gadung 1 - Harmoni,358525
43,2021,5,BRT,4,Pulo Gadung 2 - Tosari,269533
44,2021,5,Mikrotrans,JAK.112,Terminal Tanah Merah - Pulo Gadung,49628
45,2021,5,Mikrotrans,JAK.24,Senen - Pulo Gadung via Kelapa Gading,73953
46,2021,5,Mikrotrans,JAK.33,Pulo Gadung - Kota,48601
47,2021,5,Mikrotrans,JAK.41,Kampung Melayu - Pulo Gadung,39978
48,2021,5,Mikrotrans,JAK.17,Senen - Pulo Gadung,39786
49,2021,5,Angkutan Umum Integrasi,11D,Pulo Gebang - Pulo Gadung 2 via PIK,51102
50,2021,6,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,41219
51,2021,6,Mikrotrans,JAK.41,Kampung Melayu - Pulo Gadung,40724
52,2021,6,Mikrotrans,JAK.33,Pulo Gadung - Kota,56710
53,2021,6,Mikrotrans,JAK.24,Senen - Pulo Gadung via Kelapa Gading,82803
54,2021,6,Mikrotrans,JAK.17,Senen - Pulo Gadung,42227
55,2021,6,Mikrotrans,JAK.112,Terminal Tanah Merah - Pulo Gadung,54658
56,2021,6,BRT,4,Pulo Gadung 2 - Tosari,276418
57,2021,6,BRT,2,Pulo Gadung 1 - Harmoni,351897
58,2021,6,Angkutan Umum Integrasi,11D,Pulo Gebang - Pulo Gadung 2 via PIK,50089
59,2021,6,Angkutan Umum Integrasi,4F,Pinang Ranti - Pulo Gadung,38174
60,2021,7,Mikrotrans,JAK.41,Kampung Melayu - Pulo Gadung,39265
61,2021,7,Mikrotrans,JAK.33,Pulo Gadung - Kota,53882
62,2021,7,Mikrotrans,JAK.24,Senen - Pulo Gadung via Kelapa Gading,67255
63,2021,7,Mikrotrans,JAK.17,Senen - Pulo Gadung,40998
64,2021,7,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,29397
65,2021,7,BRT,4,Pulo Gadung 2 - Tosari,118923
66,2021,7,BRT,2,Pulo Gadung 1 - Harmoni,143327
67,2021,7,Angkutan Umum Integrasi,4F,Pinang Ranti - Pulo Gadung,20815
68,2021,7,Angkutan Umum Integrasi,11D,Pulo Gebang - Pulo Gadung 2 via PIK,33801
69,2021,7,Mikrotrans,JAK.112,Terminal Tanah Merah - Pulo Gadung,47747
70,2021,8,Mikrotrans,JAK.33,Pulo Gadung - Kota,36510
71,2021,8,Mikrotrans,JAK.24,Senen - Pulo Gadung via Kelapa Gading,49233
72,2021,8,Mikrotrans,JAK.17,Senen - Pulo Gadung,31113
73,2021,8,Mikrotrans,JAK.112,Terminal Tanah Merah - Pulo Gadung,37541
74,2021,8,Angkutan Umum Integrasi,11D,Pulo Gebang - Pulo Gadung 2 via PIK,40578
75,2021,8,BRT,4,Pulo Gadung 2 - Tosari,147131
76,2021,8,BRT,2,Pulo Gadung 1 - Harmoni,182122
77,2021,8,Angkutan Umum Integrasi,4F,Pinang Ranti - Pulo Gadung,22307
78,2021,8,Mikrotrans,JAK.41,Kampung Melayu - Pulo Gadung,32666
79,2021,8,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,20802
80,2021,9,Angkutan Umum Integrasi,11D,Pulo Gebang - Pulo Gadung 2 via PIK,48895
81,2021,9,BRT,4,Pulo Gadung 2 - Tosari,225026
82,2021,9,Mikrotrans,JAK.112,Terminal Tanah Merah - Pulo Gadung,42918
83,2021,9,Mikrotrans,JAK.17,Senen - Pulo Gadung,32948
84,2021,9,Mikrotrans,JAK.24,Senen - Pulo Gadung via Kelapa Gading,55622
85,2021,9,Mikrotrans,JAK.33,Pulo Gadung - Kota,38197
86,2021,9,Mikrotrans,JAK.41,Kampung Melayu - Pulo Gadung,33668
87,2021,9,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,25171
88,2021,9,Angkutan Umum Integrasi,4F,Pinang Ranti - Pulo Gadung,33478
89,2021,9,BRT,2,Pulo Gadung 1 - Harmoni,277799
90,2021,10,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,35233
91,2021,10,Mikrotrans,JAK.112,Terminal Tanah Merah - Pulo Gadung,73467
92,2021,10,Mikrotrans,JAK.33,Pulo Gadung - Kota,51615
93,2021,10,BRT,4,Pulo Gadung 2 - Tosari,274326
94,2021,10,BRT,2,Pulo Gadung 1 - Harmoni,331229
95,2021,10,Angkutan Umum Integrasi,4F,Pinang Ranti - Pulo Gadung,34614
96,2021,10,Angkutan Umum Integrasi,11D,Pulo Gebang - Pulo Gadung 2 via PIK,54197
97,2021,10,Mikrotrans,JAK.41,Kampung Melayu - Pulo Gadung,46177
98,2021,10,Mikrotrans,JAK.17,Senen - Pulo Gadung,51089
99,2021,10,Mikrotrans,JAK.24,Senen - Pulo Gadung via Kelapa Gading,80125
100,2021,11,Mikrotrans,JAK.33,Pulo Gadung - Kota,64400
101,2021,11,Mikrotrans,JAK.24,Senen - Pulo Gadung via Kelapa Gading,94793
102,2021,11,Mikrotrans,JAK.17,Senen - Pulo Gadung,59969
103,2021,11,Mikrotrans,JAK.112,Terminal Tanah Merah - Pulo Gadung,78124
104,2021,11,BRT,4,Pulo Gadung 2 - Tosari,321515
105,2021,11,BRT,2,Pulo Gadung 1 - Harmoni,374586
106,2021,11,Mikrotrans,JAK.41,Kampung Melayu - Pulo Gadung,52250
107,2021,11,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,43632
108,2021,11,Angkutan Umum Integrasi,11D,Pulo Gebang - Pulo Gadung 2 via PIK,59155
109,2021,11,Angkutan Umum Integrasi,4F,Pinang Ranti - Pulo Gadung,43945
110,2021,12,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,47929
111,2021,12,Mikrotrans,JAK.41,Kampung Melayu - Pulo Gadung,57059
112,2021,12,Mikrotrans,JAK.33,Pulo Gadung - Kota,64986
113,2021,12,Mikrotrans,JAK.24,Senen - Pulo Gadung via Kelapa Gading,101816
114,2021,12,Mikrotrans,JAK.17,Senen - Pulo Gadung,62285
115,2021,12,Mikrotrans,JAK.112,Terminal Tanah Merah - Pulo Gadung,70986
116,2021,12,BRT,4,Pulo Gadung 2 - Tosari,319411
117,2021,12,BRT,2,Pulo Gadung 1 - Harmoni,380760
118,2021,12,Angkutan Umum Integrasi,11D,Pulo Gebang - Pulo Gadung 2 via PIK,0
119,2021,12,Angkutan Umum Integrasi,4F,Pinang Ranti - Pulo Gadung,0
