,tahun,bulan,jenis,kode_trayek,trayek,jumlah_penumpang,kategori_penumpang
869,2021,9,Mikrotrans,JAK.60,Kelapa Gading - Rusun Kemayoran,52090,Ramai Penumpang
870,2021,9,Mikrotrans,JAK.59,Rawamangun - Tanah Merah,49257,Ramai Penumpang
871,2021,9,Mikrotrans,JAK.58,Cilingcing - Rorotan,71733,Padat Penumpang
872,2021,9,Mikrotrans,JAK.56,Grogol - Srengseng,34100,Sepi penumpang
873,2021,9,Mikrotrans,JAK.54,Grogol - Benhil,33008,Sepi penumpang
874,2021,9,Mikrotrans,JAK.53,Grogol - Pos Pengumben via Slipi,33250,Sepi penumpang
875,2021,9,Mikrotrans,JAK.52,Kalideres - Muara Angke,53897,Ramai Penumpang
876,2021,9,Mikrotrans,JAK.51,Taman Kota - Budi Luhur,77687,Padat Penumpang
877,2021,9,Mikrotrans,JAK.50,Kalideres - Puri Kembangan,50104,Ramai Penumpang
878,2021,9,Mikrotrans,JAK.49,Lebak Bulus - Cipulir,33207,Sepi penumpang
879,2021,9,Mikrotrans,JAK.47,Pasar Minggu - Ciganjur via KB Ragunan,32568,Sepi penumpang
880,2021,9,Mikrotrans,JAK.46,Pasar Minggu - Jagakarsa,60542,Ramai Penumpang
881,2021,9,Mikrotrans,JAK.45,Lebak Bulus - Ragunan,38024,Sepi penumpang
882,2021,9,Mikrotrans,JAK.44,Andara - Stasiun Universitas Pancasila,50060,Ramai Penumpang
883,2021,9,Mikrotrans,JAK.43,Tongtek - Cililitan,69032,Ramai Penumpang
884,2021,9,Mikrotrans,JAK.42,Kampung Melayu - Pondok Kelapa,51065,Ramai Penumpang
885,2021,9,Mikrotrans,JAK.41,Kampung Melayu - Pulo Gadung,33668,Sepi penumpang
886,2021,9,Mikrotrans,JAK.40,Harapan Baru - Pulo Gebang via Rawa Kuning,26059,Sepi penumpang
887,2021,9,Mikrotrans,JAK.39,Kalimalang - Duren Sawit,48378,Ramai Penumpang
888,2021,9,Mikrotrans,JAK.38,Bulak Ringin - Kampung Rambutan,34714,Sepi penumpang
889,2021,9,Mikrotrans,JAK.37,Cililitan - Condet via Kayu Manis,43800,Ramai Penumpang
890,2021,9,Mikrotrans,JAK.36,Cilangkap - Cililitan,49923,Ramai Penumpang
891,2021,9,Mikrotrans,JAK.35,Pangkalan  Jati - Rawamangun,26455,Sepi penumpang
892,2021,9,Mikrotrans,JAK.34,Rawamangun - Klender,50790,Ramai Penumpang
893,2021,9,Mikrotrans,JAK.33,Pulo Gadung - Kota,38197,Sepi penumpang
894,2021,9,Mikrotrans,JAK.32,Lebak Bulus - Petukangan,59259,Ramai Penumpang
895,2021,9,Mikrotrans,JAK.31,Blok M - Andara,46546,Ramai Penumpang
896,2021,9,Mikrotrans,JAK.30,Grogol - Meruya via Roxy,103286,Padat Penumpang
897,2021,9,Mikrotrans,JAK.29,Tanjung Priok - Sukapura,82109,Padat Penumpang
898,2021,9,Mikrotrans,JAK.28,Kp. Rambutan - Taman Wiladatika,44851,Ramai Penumpang
899,2021,9,Mikrotrans,JAK.27,Pulo Gebang - Rorotan,28362,Sepi penumpang
900,2021,9,Mikrotrans,JAK.26,Rawamangun - Duren Sawit,29082,Sepi penumpang
901,2021,9,Mikrotrans,JAK.25,Kp. Rambutan - Kalisari,38117,Sepi penumpang
902,2021,9,Mikrotrans,JAK.24,Senen - Pulo Gadung via Kelapa Gading,55622,Ramai Penumpang
903,2021,9,Mikrotrans,JAK.22,Dwikora - Penas Kalimalang,18294,Sepi penumpang
904,2021,9,Mikrotrans,JAK.21,Cililitan - Dwikora,60358,Ramai Penumpang
905,2021,9,Mikrotrans,JAK.20,Cawang UKI - Lubang Buaya,43086,Ramai Penumpang
906,2021,9,Mikrotrans,JAK.19,Pinang Ranti - Kampung Rambutan,80525,Padat Penumpang
907,2021,9,Mikrotrans,JAK.18,Kalibata - Kuningan,22686,Sepi penumpang
908,2021,9,Mikrotrans,JAK.17,Senen - Pulo Gadung,32948,Sepi penumpang
909,2021,9,Mikrotrans,JAK.16,Cililitan - Condet,55189,Ramai Penumpang
910,2021,9,Mikrotrans,JAK.15,Bulak Turi - Tanjung Priok,88818,Padat Penumpang
911,2021,9,Mikrotrans,JAK.14,Tanah Abang - Meruya,54146,Ramai Penumpang
912,2021,9,Mikrotrans,JAK.13,Tanah Abang - Kota Intan via Jembatan Lima,13942,Sepi penumpang
913,2021,9,Mikrotrans,JAK.12,Tanah Abang - Kebayoran Lama via Pos Pengumben,47757,Ramai Penumpang
914,2021,9,Mikrotrans,JAK.117,Tanjung Priok - Tanah Merdeka,65450,Ramai Penumpang
915,2021,9,Mikrotrans,JAK.112,Terminal Tanah Merah - Pulo Gadung,42918,Ramai Penumpang
916,2021,9,Mikrotrans,JAK.11,Tanah Abang - Kebayoran Lama,55623,Ramai Penumpang
917,2021,9,Mikrotrans,JAK.10,Tanah Abang - Kota,39097,Sepi penumpang
918,2021,9,Mikrotrans,JAK.09,Roxy Mas - Karet,20117,Sepi penumpang
919,2021,9,Mikrotrans,JAK.08,Roxy - Benhil,31482,Sepi penumpang
920,2021,9,Mikrotrans,JAK.07,Tanah Abang - Grogol via Tawakal,40234,Ramai Penumpang
921,2021,9,Mikrotrans,JAK.06,Kampung Rambutan - Pondok Gede,47876,Ramai Penumpang
922,2021,9,Mikrotrans,JAK.05,Semper - Rorotan,49580,Ramai Penumpang
923,2021,9,Mikrotrans,JAK.04,Grogol - Tubagus Angke,39425,Sepi penumpang
924,2021,9,Mikrotrans,JAK.03,Lebak Bulus - Andara,29480,Sepi penumpang
925,2021,9,Mikrotrans,JAK.02,Kampung Melayu - Duren Sawit,33996,Sepi penumpang
926,2021,9,Mikrotrans,JAK.01,Tanjung Priok - Plumpang,50127,Ramai Penumpang
979,2021,2,Mikrotrans,JAK.88,Terminal Tanjung Priok - Ancol Barat,21344,Sepi penumpang
980,2021,2,Mikrotrans,JAK.85,Bintara - Cipinang Indah,20729,Sepi penumpang
981,2021,2,Mikrotrans,JAK.84,Terminal Kampung Melayu - Kapin Raya,31200,Sepi penumpang
982,2021,2,Mikrotrans,JAK.80,Rawa Buaya - Rawa Kompeni,54914,Ramai Penumpang
983,2021,2,Mikrotrans,JAK.77,Tanjung Priok - Jembatan Item,56920,Ramai Penumpang
984,2021,2,Mikrotrans,JAK.75,Cililitan - Kp. Pulo,43997,Ramai Penumpang
985,2021,2,Mikrotrans,JAK.74,Terminal Rawamangun - Cipinang Muara,35356,Sepi penumpang
986,2021,2,Mikrotrans,JAK.73,Jambore Cibubur - Pasar Rebo,63940,Ramai Penumpang
987,2021,2,Mikrotrans,JAK.72,Kampung Rambutan - Pasar Rebo via Poncol,77250,Padat Penumpang
988,2021,2,Mikrotrans,JAK.71,Kampung Rambutan - Pinang Ranti,57426,Ramai Penumpang
989,2021,2,Mikrotrans,JAK.64,Lenteng Agung - Aseli,37219,Sepi penumpang
990,2021,2,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,33443,Sepi penumpang
991,2021,2,Mikrotrans,JAK.60,Kelapa Gading - Rusun Kemayoran,65846,Ramai Penumpang
992,2021,2,Mikrotrans,JAK.59,Rawamangun - Tanah Merah,87721,Padat Penumpang
993,2021,2,Mikrotrans,JAK.58,Cilingcing - Rorotan,87437,Padat Penumpang
994,2021,2,Mikrotrans,JAK.56,Grogol - Srengseng,46279,Ramai Penumpang
995,2021,2,Mikrotrans,JAK.54,Grogol - Benhil,26980,Sepi penumpang
996,2021,2,Mikrotrans,JAK.53,Grogol - Pos Pengumben via Slipi,22227,Sepi penumpang
997,2021,2,Mikrotrans,JAK.52,Kalideres - Muara Angke,43364,Ramai Penumpang
998,2021,2,Mikrotrans,JAK.51,Taman Kota - Budi Luhur,92464,Padat Penumpang
999,2021,2,Mikrotrans,JAK.50,Kalideres - Puri Kembangan,51921,Ramai Penumpang
1000,2021,2,Mikrotrans,JAK.49,Lebak Bulus - Cipulir,35460,Sepi penumpang
1001,2021,2,Mikrotrans,JAK.47,Pasar Minggu - Ciganjur via KB Ragunan,40570,Ramai Penumpang
1002,2021,2,Mikrotrans,JAK.46,Pasar Minggu - Jagakarsa,57219,Ramai Penumpang
1003,2021,2,Mikrotrans,JAK.45,Lebak Bulus - Ragunan,44618,Ramai Penumpang
1004,2021,2,Mikrotrans,JAK.44,Andara - Stasiun Universitas Pancasila,52459,Ramai Penumpang
1005,2021,2,Mikrotrans,JAK.43,Tongtek - Cililitan,77215,Padat Penumpang
1006,2021,2,Mikrotrans,JAK.42,Kampung Melayu - Pondok Kelapa,52244,Ramai Penumpang
1007,2021,2,Mikrotrans,JAK.41,Kampung Melayu - Pulo Gadung,22924,Sepi penumpang
1008,2021,2,Mikrotrans,JAK.40,Harapan Baru - Pulo Gebang via Rawa Kuning,39204,Sepi penumpang
1009,2021,2,Mikrotrans,JAK.39,Kalimalang - Duren Sawit,54632,Ramai Penumpang
1010,2021,2,Mikrotrans,JAK.38,Bulak Ringin - Kampung Rambutan,40927,Ramai Penumpang
1011,2021,2,Mikrotrans,JAK.37,Cililitan - Condet via Kayu Manis,48742,Ramai Penumpang
1012,2021,2,Mikrotrans,JAK.36,Cilangkap - Cililitan,83344,Padat Penumpang
1013,2021,2,Mikrotrans,JAK.35,Pangkalan  Jati - Rawamangun,29146,Sepi penumpang
1014,2021,2,Mikrotrans,JAK.34,Rawamangun - Klender,68017,Ramai Penumpang
1015,2021,2,Mikrotrans,JAK.33,Pulo Gadung - Kota,47276,Ramai Penumpang
1016,2021,2,Mikrotrans,JAK.32,Lebak Bulus - Petukangan,78829,Padat Penumpang
1017,2021,2,Mikrotrans,JAK.31,Blok M - Andara,54602,Ramai Penumpang
1018,2021,2,Mikrotrans,JAK.30,Grogol - Meruya via Roxy,124641,Padat Penumpang
1019,2021,2,Mikrotrans,JAK.29,Tanjung Priok - Sukapura,99914,Padat Penumpang
1020,2021,2,Mikrotrans,JAK.28,Kp. Rambutan - Taman Wiladatika,59697,Ramai Penumpang
1021,2021,2,Mikrotrans,JAK.27,Pulo Gebang - Rorotan,43461,Ramai Penumpang
1022,2021,2,Mikrotrans,JAK.26,Rawamangun - Duren Sawit,36157,Sepi penumpang
1023,2021,2,Mikrotrans,JAK.25,Kp. Rambutan - Kalisari,54166,Ramai Penumpang
1024,2021,2,Mikrotrans,JAK.24,Senen - Pulo Gadung via Kelapa Gading,66373,Ramai Penumpang
1025,2021,2,Mikrotrans,JAK.22,Dwikora - Penas Kalimalang,23633,Sepi penumpang
1026,2021,2,Mikrotrans,JAK.21,Cililitan - Dwikora,50183,Ramai Penumpang
1027,2021,2,Mikrotrans,JAK.20,Cawang UKI - Lubang Buaya,56309,Ramai Penumpang
1028,2021,2,Mikrotrans,JAK.19,Pinang Ranti - Kampung Rambutan,100915,Padat Penumpang
1029,2021,2,Mikrotrans,JAK.18,Kalibata - Kuningan,29065,Sepi penumpang
1030,2021,2,Mikrotrans,JAK.17,Senen - Pulo Gadung,31054,Sepi penumpang
1031,2021,2,Mikrotrans,JAK.16,Cililitan - Condet,55253,Ramai Penumpang
1032,2021,2,Mikrotrans,JAK.15,Bulak Turi - Tanjung Priok,117930,Padat Penumpang
1033,2021,2,Mikrotrans,JAK.14,Tanah Abang - Meruya,73311,Padat Penumpang
1034,2021,2,Mikrotrans,JAK.13,Tanah Abang - Kota Intan via Jembatan Lima,13596,Sepi penumpang
1035,2021,2,Mikrotrans,JAK.12,Tanah Abang - Kebayoran Lama via Pos Pengumben,60234,Ramai Penumpang
1036,2021,2,Mikrotrans,JAK.117,Tanjung Priok - Tanah Merdeka,69530,Ramai Penumpang
1037,2021,2,Mikrotrans,JAK.112,Terminal Tanah Merah - Pulo Gadung,45547,Ramai Penumpang
1038,2021,2,Mikrotrans,JAK.11,Tanah Abang - Kebayoran Lama,65085,Ramai Penumpang
1039,2021,2,Mikrotrans,JAK.10,Tanah Abang - Kota,41754,Ramai Penumpang
1040,2021,2,Mikrotrans,JAK.09,Roxy Mas - Karet,21417,Sepi penumpang
1041,2021,2,Mikrotrans,JAK.08,Roxy - Benhil,23941,Sepi penumpang
1042,2021,2,Mikrotrans,JAK.07,Tanah Abang - Grogol via Tawakal,40099,Ramai Penumpang
1043,2021,2,Mikrotrans,JAK.06,Kampung Rambutan - Pondok Gede,68724,Ramai Penumpang
1044,2021,2,Mikrotrans,JAK.05,Semper - Rorotan,65797,Ramai Penumpang
1045,2021,2,Mikrotrans,JAK.04,Grogol - Tubagus Angke,45396,Ramai Penumpang
1046,2021,2,Mikrotrans,JAK.03,Lebak Bulus - Andara,29697,Sepi penumpang
1047,2021,2,Mikrotrans,JAK.02,Kampung Melayu - Duren Sawit,43512,Ramai Penumpang
1048,2021,2,Mikrotrans,JAK.01,Tanjung Priok - Plumpang,56501,Ramai Penumpang
1098,2021,7,Mikrotrans,JAK.88,Terminal Tanjung Priok - Ancol Barat,27538,Sepi penumpang
1099,2021,7,Mikrotrans,JAK.85,Bintara - Cipinang Indah,25470,Sepi penumpang
1100,2021,7,Mikrotrans,JAK.84,Terminal Kampung Melayu - Kapin Raya,40086,Ramai Penumpang
1101,2021,7,Mikrotrans,JAK.80,Rawa Buaya - Rawa Kompeni,60821,Ramai Penumpang
1102,2021,7,Mikrotrans,JAK.77,Tanjung Priok - Jembatan Item,60267,Ramai Penumpang
1103,2021,7,Mikrotrans,JAK.75,Cililitan - Kp. Pulo,42919,Ramai Penumpang
1104,2021,7,Mikrotrans,JAK.74,Terminal Rawamangun - Cipinang Muara,39415,Sepi penumpang
1105,2021,7,Mikrotrans,JAK.73,Jambore Cibubur - Pasar Rebo,61657,Ramai Penumpang
1106,2021,7,Mikrotrans,JAK.72,Kampung Rambutan - Pasar Rebo via Poncol,86419,Padat Penumpang
1107,2021,7,Mikrotrans,JAK.71,Kampung Rambutan - Pinang Ranti,61194,Ramai Penumpang
1108,2021,7,Mikrotrans,JAK.64,Lenteng Agung - Aseli,35142,Sepi penumpang
1109,2021,7,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,29397,Sepi penumpang
1110,2021,7,Mikrotrans,JAK.60,Kelapa Gading - Rusun Kemayoran,51455,Ramai Penumpang
1111,2021,7,Mikrotrans,JAK.59,Rawamangun - Tanah Merah,68926,Ramai Penumpang
1112,2021,7,Mikrotrans,JAK.58,Cilingcing - Rorotan,84804,Padat Penumpang
1113,2021,7,Mikrotrans,JAK.56,Grogol - Srengseng,50173,Ramai Penumpang
1114,2021,7,Mikrotrans,JAK.54,Grogol - Benhil,35059,Sepi penumpang
1115,2021,7,Mikrotrans,JAK.53,Grogol - Pos Pengumben via Slipi,35322,Sepi penumpang
1116,2021,7,Mikrotrans,JAK.52,Kalideres - Muara Angke,55626,Ramai Penumpang
1117,2021,7,Mikrotrans,JAK.51,Taman Kota - Budi Luhur,90388,Padat Penumpang
1118,2021,7,Mikrotrans,JAK.50,Kalideres - Puri Kembangan,59756,Ramai Penumpang
1119,2021,7,Mikrotrans,JAK.49,Lebak Bulus - Cipulir,35304,Sepi penumpang
1120,2021,7,Mikrotrans,JAK.47,Pasar Minggu - Ciganjur via KB Ragunan,42179,Ramai Penumpang
1121,2021,7,Mikrotrans,JAK.46,Pasar Minggu - Jagakarsa,70972,Padat Penumpang
1122,2021,7,Mikrotrans,JAK.45,Lebak Bulus - Ragunan,42681,Ramai Penumpang
1123,2021,7,Mikrotrans,JAK.44,Andara - Stasiun Universitas Pancasila,53677,Ramai Penumpang
1124,2021,7,Mikrotrans,JAK.43,Tongtek - Cililitan,69302,Ramai Penumpang
1125,2021,7,Mikrotrans,JAK.42,Kampung Melayu - Pondok Kelapa,59935,Ramai Penumpang
1126,2021,7,Mikrotrans,JAK.41,Kampung Melayu - Pulo Gadung,39265,Sepi penumpang
1127,2021,7,Mikrotrans,JAK.40,Harapan Baru - Pulo Gebang via Rawa Kuning,39761,Sepi penumpang
1128,2021,7,Mikrotrans,JAK.39,Kalimalang - Duren Sawit,50834,Ramai Penumpang
1129,2021,7,Mikrotrans,JAK.38,Bulak Ringin - Kampung Rambutan,41201,Ramai Penumpang
1130,2021,7,Mikrotrans,JAK.37,Cililitan - Condet via Kayu Manis,43598,Ramai Penumpang
1131,2021,7,Mikrotrans,JAK.36,Cilangkap - Cililitan,59082,Ramai Penumpang
1132,2021,7,Mikrotrans,JAK.35,Pangkalan  Jati - Rawamangun,33239,Sepi penumpang
1133,2021,7,Mikrotrans,JAK.34,Rawamangun - Klender,66981,Ramai Penumpang
1134,2021,7,Mikrotrans,JAK.33,Pulo Gadung - Kota,53882,Ramai Penumpang
1135,2021,7,Mikrotrans,JAK.32,Lebak Bulus - Petukangan,65877,Ramai Penumpang
1136,2021,7,Mikrotrans,JAK.31,Blok M - Andara,47265,Ramai Penumpang
1137,2021,7,Mikrotrans,JAK.30,Grogol - Meruya via Roxy,115750,Padat Penumpang
1138,2021,7,Mikrotrans,JAK.29,Tanjung Priok - Sukapura,102252,Padat Penumpang
1139,2021,7,Mikrotrans,JAK.28,Kp. Rambutan - Taman Wiladatika,60833,Ramai Penumpang
1140,2021,7,Mikrotrans,JAK.27,Pulo Gebang - Rorotan,45238,Ramai Penumpang
1141,2021,7,Mikrotrans,JAK.26,Rawamangun - Duren Sawit,34525,Sepi penumpang
1142,2021,7,Mikrotrans,JAK.25,Kp. Rambutan - Kalisari,51709,Ramai Penumpang
1143,2021,7,Mikrotrans,JAK.24,Senen - Pulo Gadung via Kelapa Gading,67255,Ramai Penumpang
1144,2021,7,Mikrotrans,JAK.22,Dwikora - Penas Kalimalang,22151,Sepi penumpang
1145,2021,7,Mikrotrans,JAK.21,Cililitan - Dwikora,50079,Ramai Penumpang
1146,2021,7,Mikrotrans,JAK.20,Cawang UKI - Lubang Buaya,54167,Ramai Penumpang
1147,2021,7,Mikrotrans,JAK.19,Pinang Ranti - Kampung Rambutan,89642,Padat Penumpang
1148,2021,7,Mikrotrans,JAK.18,Kalibata - Kuningan,27976,Sepi penumpang
1149,2021,7,Mikrotrans,JAK.17,Senen - Pulo Gadung,40998,Ramai Penumpang
1150,2021,7,Mikrotrans,JAK.16,Cililitan - Condet,67962,Ramai Penumpang
1151,2021,7,Mikrotrans,JAK.15,Bulak Turi - Tanjung Priok,107567,Padat Penumpang
1152,2021,7,Mikrotrans,JAK.14,Tanah Abang - Meruya,68627,Ramai Penumpang
1153,2021,7,Mikrotrans,JAK.13,Tanah Abang - Kota Intan via Jembatan Lima,16554,Sepi penumpang
1154,2021,7,Mikrotrans,JAK.12,Tanah Abang - Kebayoran Lama via Pos Pengumben,62106,Ramai Penumpang
1155,2021,7,Mikrotrans,JAK.117,Tanjung Priok - Tanah Merdeka,75944,Padat Penumpang
1156,2021,7,Mikrotrans,JAK.112,Terminal Tanah Merah - Pulo Gadung,47747,Ramai Penumpang
1157,2021,7,Mikrotrans,JAK.11,Tanah Abang - Kebayoran Lama,64412,Ramai Penumpang
1158,2021,7,Mikrotrans,JAK.10B,Gondangdia - Cikini via Kramat Raya,3136,Sepi penumpang
1159,2021,7,Mikrotrans,JAK.10A,Gondangdia - Cikini via Salemba Raya,19060,Sepi penumpang
1160,2021,7,Mikrotrans,JAK.10,Tanah Abang - Kota,40221,Ramai Penumpang
1161,2021,7,Mikrotrans,JAK.09,Roxy Mas - Karet,16921,Sepi penumpang
1162,2021,7,Mikrotrans,JAK.08,Roxy - Benhil,24959,Sepi penumpang
1163,2021,7,Mikrotrans,JAK.07,Tanah Abang - Grogol via Tawakal,41852,Ramai Penumpang
1164,2021,7,Mikrotrans,JAK.06,Kampung Rambutan - Pondok Gede,63751,Ramai Penumpang
1165,2021,7,Mikrotrans,JAK.05,Semper - Rorotan,61720,Ramai Penumpang
1166,2021,7,Mikrotrans,JAK.04,Grogol - Tubagus Angke,52237,Ramai Penumpang
1167,2021,7,Mikrotrans,JAK.03,Lebak Bulus - Andara,28719,Sepi penumpang
1168,2021,7,Mikrotrans,JAK.02,Kampung Melayu - Duren Sawit,41284,Ramai Penumpang
1169,2021,7,Mikrotrans,JAK.01,Tanjung Priok - Plumpang,53303,Ramai Penumpang
1224,2021,4,Mikrotrans,JAK.88,Terminal Tanjung Priok - Ancol Barat,31791,Sepi penumpang
1225,2021,4,Mikrotrans,JAK.85,Bintara - Cipinang Indah,26835,Sepi penumpang
1226,2021,4,Mikrotrans,JAK.84,Terminal Kampung Melayu - Kapin Raya,40223,Ramai Penumpang
1227,2021,4,Mikrotrans,JAK.80,Rawa Buaya - Rawa Kompeni,64948,Ramai Penumpang
1228,2021,4,Mikrotrans,JAK.77,Tanjung Priok - Jembatan Item,69143,Ramai Penumpang
1229,2021,4,Mikrotrans,JAK.75,Cililitan - Kp. Pulo,49851,Ramai Penumpang
1230,2021,4,Mikrotrans,JAK.74,Terminal Rawamangun - Cipinang Muara,44545,Ramai Penumpang
1231,2021,4,Mikrotrans,JAK.73,Jambore Cibubur - Pasar Rebo,73486,Padat Penumpang
1232,2021,4,Mikrotrans,JAK.72,Kampung Rambutan - Pasar Rebo via Poncol,104102,Padat Penumpang
1233,2021,4,Mikrotrans,JAK.71,Kampung Rambutan - Pinang Ranti,71173,Padat Penumpang
1234,2021,4,Mikrotrans,JAK.64,Lenteng Agung - Aseli,47623,Ramai Penumpang
1235,2021,4,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,42043,Ramai Penumpang
1236,2021,4,Mikrotrans,JAK.60,Kelapa Gading - Rusun Kemayoran,73738,Padat Penumpang
1237,2021,4,Mikrotrans,JAK.59,Rawamangun - Tanah Merah,94492,Padat Penumpang
1238,2021,4,Mikrotrans,JAK.58,Cilingcing - Rorotan,102437,Padat Penumpang
1239,2021,4,Mikrotrans,JAK.56,Grogol - Srengseng,55901,Ramai Penumpang
1240,2021,4,Mikrotrans,JAK.54,Grogol - Benhil,39120,Sepi penumpang
1241,2021,4,Mikrotrans,JAK.53,Grogol - Pos Pengumben via Slipi,36642,Sepi penumpang
1242,2021,4,Mikrotrans,JAK.52,Kalideres - Muara Angke,61905,Ramai Penumpang
1243,2021,4,Mikrotrans,JAK.51,Taman Kota - Budi Luhur,108669,Padat Penumpang
1244,2021,4,Mikrotrans,JAK.50,Kalideres - Puri Kembangan,71057,Padat Penumpang
1245,2021,4,Mikrotrans,JAK.49,Lebak Bulus - Cipulir,44479,Ramai Penumpang
1246,2021,4,Mikrotrans,JAK.47,Pasar Minggu - Ciganjur via KB Ragunan,53740,Ramai Penumpang
1247,2021,4,Mikrotrans,JAK.46,Pasar Minggu - Jagakarsa,87618,Padat Penumpang
1248,2021,4,Mikrotrans,JAK.45,Lebak Bulus - Ragunan,58579,Ramai Penumpang
1249,2021,4,Mikrotrans,JAK.44,Andara - Stasiun Universitas Pancasila,67175,Ramai Penumpang
1250,2021,4,Mikrotrans,JAK.43,Tongtek - Cililitan,91751,Padat Penumpang
1251,2021,4,Mikrotrans,JAK.42,Kampung Melayu - Pondok Kelapa,67771,Ramai Penumpang
1252,2021,4,Mikrotrans,JAK.41,Kampung Melayu - Pulo Gadung,40336,Ramai Penumpang
1253,2021,4,Mikrotrans,JAK.40,Harapan Baru - Pulo Gebang via Rawa Kuning,46119,Ramai Penumpang
1254,2021,4,Mikrotrans,JAK.39,Kalimalang - Duren Sawit,66948,Ramai Penumpang
1255,2021,4,Mikrotrans,JAK.38,Bulak Ringin - Kampung Rambutan,51343,Ramai Penumpang
1256,2021,4,Mikrotrans,JAK.37,Cililitan - Condet via Kayu Manis,59481,Ramai Penumpang
1257,2021,4,Mikrotrans,JAK.36,Cilangkap - Cililitan,99921,Padat Penumpang
1258,2021,4,Mikrotrans,JAK.35,Pangkalan  Jati - Rawamangun,33547,Sepi penumpang
1259,2021,4,Mikrotrans,JAK.34,Rawamangun - Klender,83256,Padat Penumpang
1260,2021,4,Mikrotrans,JAK.33,Pulo Gadung - Kota,53128,Ramai Penumpang
1261,2021,4,Mikrotrans,JAK.32,Lebak Bulus - Petukangan,96164,Padat Penumpang
1262,2021,4,Mikrotrans,JAK.31,Blok M - Andara,68488,Ramai Penumpang
1263,2021,4,Mikrotrans,JAK.30,Grogol - Meruya via Roxy,151229,Padat Penumpang
1264,2021,4,Mikrotrans,JAK.29,Tanjung Priok - Sukapura,114250,Padat Penumpang
1265,2021,4,Mikrotrans,JAK.28,Kp. Rambutan - Taman Wiladatika,70553,Padat Penumpang
1266,2021,4,Mikrotrans,JAK.27,Pulo Gebang - Rorotan,47678,Ramai Penumpang
1267,2021,4,Mikrotrans,JAK.26,Rawamangun - Duren Sawit,44229,Ramai Penumpang
1268,2021,4,Mikrotrans,JAK.25,Kp. Rambutan - Kalisari,62570,Ramai Penumpang
1269,2021,4,Mikrotrans,JAK.24,Senen - Pulo Gadung via Kelapa Gading,77864,Padat Penumpang
1270,2021,4,Mikrotrans,JAK.22,Dwikora - Penas Kalimalang,31455,Sepi penumpang
1271,2021,4,Mikrotrans,JAK.21,Cililitan - Dwikora,64590,Ramai Penumpang
1272,2021,4,Mikrotrans,JAK.20,Cawang UKI - Lubang Buaya,67887,Ramai Penumpang
1273,2021,4,Mikrotrans,JAK.19,Pinang Ranti - Kampung Rambutan,120531,Padat Penumpang
1274,2021,4,Mikrotrans,JAK.18,Kalibata - Kuningan,36923,Sepi penumpang
1275,2021,4,Mikrotrans,JAK.17,Senen - Pulo Gadung,43320,Ramai Penumpang
1276,2021,4,Mikrotrans,JAK.16,Cililitan - Condet,76238,Padat Penumpang
1277,2021,4,Mikrotrans,JAK.15,Bulak Turi - Tanjung Priok,134431,Padat Penumpang
1278,2021,4,Mikrotrans,JAK.14,Tanah Abang - Meruya,96813,Padat Penumpang
1279,2021,4,Mikrotrans,JAK.13,Tanah Abang - Kota Intan via Jembatan Lima,17877,Sepi penumpang
1280,2021,4,Mikrotrans,JAK.12,Tanah Abang - Kebayoran Lama via Pos Pengumben,67485,Ramai Penumpang
1281,2021,4,Mikrotrans,JAK.117,Tanjung Priok - Tanah Merdeka,83132,Padat Penumpang
1282,2021,4,Mikrotrans,JAK.112,Terminal Tanah Merah - Pulo Gadung,51550,Ramai Penumpang
1283,2021,4,Mikrotrans,JAK.11,Tanah Abang - Kebayoran Lama,74291,Padat Penumpang
1284,2021,4,Mikrotrans,JAK.10,Tanah Abang - Kota,55248,Ramai Penumpang
1285,2021,4,Mikrotrans,JAK.09,Roxy Mas - Karet,23484,Sepi penumpang
1286,2021,4,Mikrotrans,JAK.08,Roxy - Benhil,38120,Sepi penumpang
1287,2021,4,Mikrotrans,JAK.07,Tanah Abang - Grogol via Tawakal,53720,Ramai Penumpang
1288,2021,4,Mikrotrans,JAK.06,Kampung Rambutan - Pondok Gede,82859,Padat Penumpang
1289,2021,4,Mikrotrans,JAK.05,Semper - Rorotan,73686,Padat Penumpang
1290,2021,4,Mikrotrans,JAK.04,Grogol - Tubagus Angke,51988,Ramai Penumpang
1291,2021,4,Mikrotrans,JAK.03,Lebak Bulus - Andara,35820,Sepi penumpang
1292,2021,4,Mikrotrans,JAK.02,Kampung Melayu - Duren Sawit,51757,Ramai Penumpang
1293,2021,4,Mikrotrans,JAK.01,Tanjung Priok - Plumpang,65366,Ramai Penumpang
1344,2021,11,Mikrotrans,JAK.88,Terminal Tanjung Priok - Ancol Barat,40135,Ramai Penumpang
1345,2021,11,Mikrotrans,JAK.85,Bintara - Cipinang Indah,38487,Sepi penumpang
1346,2021,11,Mikrotrans,JAK.84,Terminal Kampung Melayu - Kapin Raya,49142,Ramai Penumpang
1347,2021,11,Mikrotrans,JAK.80,Rawa Buaya - Rawa Kompeni,66701,Ramai Penumpang
1348,2021,11,Mikrotrans,JAK.77,Tanjung Priok - Jembatan Item,75248,Padat Penumpang
